Ano;Região;UF;Estado;Organização Acadêmica PNP;Instituicao;Instituição (Nome);nomeUnidadeRecente;Eficiência Acadêmica | Concluídos;Eficiência Acadêmica | Concluídos %;Eficiência Acadêmica | Índice de Eficiência Acadêmica %;Eficiência Acadêmica | Número de Evadidos;Eficiência Acadêmica | Retidos;Eficiência Acadêmica | Retidos %;Eficiência Acadêmica | Taxa de Evasão %
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Brasília;782;30,32;36,07;1386;411;15,94;53,74
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Ceilândia;275;33,78;34,85;514;25;3,07;63,14
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Estrutural;186;23,37;25,27;550;60;7,54;69,1
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Gama;557;35,61;36,67;962;45;2,88;61,51
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Planaltina;142;21,91;22,76;482;24;3,7;74,38
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Recanto Das Emas;202;49,51;49,51;206;;;50,49
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Riacho Fundo;207;39,28;47,15;232;88;16,7;44,02
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Samambaia;389;36,36;38,59;619;62;5,79;57,85
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus São Sebastião;268;27,4;28,48;673;37;3,78;68,81
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Taguatinga;256;30,22;34,64;483;108;12,75;57,02
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Campos Belos;192;68,33;77,42;56;33;11,74;19,93
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Catalão;64;43,84;46,04;75;7;4,79;51,37
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Ceres;236;38,88;49,79;238;133;21,91;39,21
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Cristalina;98;44,95;73,13;36;84;38,53;16,51
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Hidrolândia;83;48,54;54,25;70;18;10,53;40,94
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Ipameri;590;95,62;96,09;24;3;0,49;3,89
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Iporá;202;40,4;56,27;157;141;28,2;31,4
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Morrinhos;29;6,12;10,98;235;210;44,3;49,58
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Posse;79;26,6;35,11;146;72;24,24;49,16
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Rio Verde;335;35,45;45,7;398;212;22,43;42,12
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Trindade;104;35,74;46,64;119;68;23,37;40,89
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Urutaí;196;26,06;31,41;428;128;17,02;56,91
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IFG;Instituto Federal de Goiás;Campus Águas Lindas de Goiás;181;53,39;55,02;148;10;2,95;43,66
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IFG;Instituto Federal de Goiás;Campus Anápolis;149;32,04;35,99;265;51;10,97;56,99
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IFG;Instituto Federal de Goiás;Campus Aparecida de Goiânia;126;46,84;58,88;88;55;20,45;32,71
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IFG;Instituto Federal de Goiás;Campus Cidade de Goiás;117;50,43;53,92;100;15;6,47;43,1
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IFG;Instituto Federal de Goiás;Campus Formosa;154;34,53;38,69;244;48;10,76;54,71
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IFG;Instituto Federal de Goiás;Campus Goiânia;574;34,68;40,03;860;221;13,35;51,96
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IFG;Instituto Federal de Goiás;Campus Goiânia Oeste;272;57,38;65,86;141;61;12,87;29,75
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IFG;Instituto Federal de Goiás;Campus Inhumas;130;31,94;48,87;136;141;34,64;33,42
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IFG;Instituto Federal de Goiás;Campus Itumbiara;84;26,5;30,43;192;41;12,93;60,57
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IFG;Instituto Federal de Goiás;Campus Jataí;320;41,5;44,02;407;44;5,71;52,79
